Name,Minimum Age,Maximum Age,Gender,Address,Region,Description,Application Requirements/Restrictions (if any),Website,Phone,Email,Valid As Of,Latitude,Longitude,Mental Health Services,Medical Health Services,Public Housing,Intimate Partner Violence,Developmental/Intellectual Disabilities Services,Child Welfare,Cash and Food Benefits,Shelter Assistance,Family Support Services,Adjudicated Adolescents,LGBTQ Resources,Mentoring,Case Management,Academic Support,Job Opportunities/Training,Community Service/Outreach,Substance Abuse Treatment Residential,Substance Abuse Treatment Outpatient,Legal Support
SMART Clinical Services Team ,13,24,All,"555 Amory Street Boston, MA 02130",Suffolk,"Requires insurance.

The CST provides confidential mental health services, advocacy, and case management to young people and their families who are impacted by the criminal and/or juvenile justice systems. SMART Team has developed a specialized model of in-home therapy for proven-risk youth. CST clinicians are master’s-level social workers, and our bachelor-level mentors help youth and families navigate complex systems. They engage justice-involved youth within neighborhoods where violence and crime is prevalent. They provide evidence-based, trauma-informed, mental health treatment in the places where youth can be reached: their homes, schools, detention centers, DYS facilities, jails, and prisons. The work of the CST’s staff of mental health professionals is informed by the latest research on trauma intervention. SMART Team interventions disrupt the pattern of social isolation and encourage healthy behaviors among proven-risk youth.",,https://jri.org/services/acute-care-and-juvenile-justice/juvenile-justice/cst,(508) 479-1573,jbrownhill@jri.org,2018-03-26,42.308593,-71.107994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bikes Not Bombs- Mechanics Training,15,100,All,"284 Amory Street
Jamaica Plain, MA 02130",,"Bikes Not Bombs also operates an Apprenticeship program (formally known as Vocational Education or Voc Ed) as a stepping stone in the Pathways program. The Apprenticeship is for youth (age 15 and older) and provides a unique job training opportunity for those who are motivated to learn bicycle repair and mechanics. Apprentices work one-on-one with skilled BNB Bike Shop mechanics learning all of the systems of a bicycle and receive detailed explanations coupled with hands-on learning.

Because of the intensive nature of this training program, only a small number of graduates from our Youth Programs can be accommodated. Priority will be given to applicants who are serious about becoming professional bike mechanics and who do not have access to other training programs. Women and people of color are encouraged to apply. While the Bikes Not Bombs Bike Shop largely hires former Apprentices, graduation from the class does not guarantee a position. ",,https://bikesnotbombs.org/mechanics-training,(617) 522-0222,elijah@bikesnotbombs.org,2018-03-26,42.314727,-71.104549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
YouthHarbors,18,22,All,"555 Amory Street Boston, MA 02130",Suffolk,"YouthHarbors' youth are ambitious, hard-working students who are determined to complete their high school education and become productive members of society. This is difficult, however, when they are trapped in a ""survival mode"" that threatens their ability to concentrate in school and depletes their energy because of worries relating to where they will spend the next night or how they will get food.

YouthHarbors works to ensure that these youth are safely housed so they can concentrate on school, and that they are given all the tools and skills they need to be able to focus on their future and achieve success.

The YouthHarbors program works because it operates with a dynamic, can-do attitude and meets youth where they are, using a wrap-around service delivery model to meet each youth's individual needs.

YouthHarbors begins with the identification of a high school student who is homeless or at risk of becoming homeless. Students are deemed eligible for the program based solely on the criteria of being unaccompanied and homeless.

Housing:

YouthHarbors staff works to find the student stable, long-term housing once immediate shelter needs are met. Housing options range from housing with extended family or friends to finding an apartment with suitable roommates, but a student can occasionally be placed with a host family.

Individualized Life Skills Workshops:

These workshops are individually tailored to each student, vary widely, and can include workshops that are:

Career-Oriented: Finding a job, writing a resume, or improving interview skills.
Domestic: Cooking food safely, maintaining an apartment, doing laundry, managing and negotiating roommate relationships.
Academic: Planning educational goals, connecting with academic tutors.
Financial: Managing a budget, paying bills on time, learning to save for the future.

The program is flexible so as to meet the unique needs of each homeless youth. Clients generally stay in the program for a total of 6 to 12 months, after which they are eligible for Rediscovery's alumni services.",,https://jri.org/services/health-and-housing/housing/youth-harbors,(617) 270-3934,ddorvilier@jri.org,2018-03-26,42.308593,-71.107994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Bikes Not Bombs -Girls in Action,12,18,Female,"284 Amory Street
Jamaica Plain, MA 02130",,"Girls In Action is BNB’s all-girls program. Program cost is $25-$50 sliding scale - you decide how much you can pay. In addition to mechanics, GIA offers fitness, safety, and environmental activities, as well as weekly workshops or field trips! You might visit an urban farm, learn how to do henna tattoos, or do community service, all while meeting other cool girls and learning how to completely rebuild a bike.

Earn-A-Bike is a learning and earning bicycle program. Over the course of the six-week program, participants will completely overhaul a bicycle while learning how to safely ride and navigate the city of Boston. During mechanics lessons, participants will be taught how to repair a part of the bicycle; then they’ll roll up their sleeves and do it themselves. On group bike rides, participants will learn the ins and outs of Boston’s system of bike lanes and paths, riding to and from parks, basketball courts and local businesses.

There are no lectures in Earn-A-Bike: you pick out a bike (choose from mountain, road, or BMX bikes), you learn how to rebuild it, and then you get to keep it! (as long as you’ve earned enough credits, that is)

To qualify for enrollment, BOTH the application (filled out) and payment (cash, check or money order) need to be submitted. If you are unable to afford any class fee, you can submit a fee waiver request instead of payment, and this will not affect whether or not you are accepted to the course. If you are not accepted into the program for any reason, you will be notified and your program fee will be returned.",,https://bikesnotbombs.org/girls-in-action,(617) 522-0222,elijah@bikesnotbombs.org,2018-03-26,42.314727,-71.104549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bikes Not Bombs- Pathways: Youth Employment Program,15,18,All,"284 Amory Street Jamaica Plain, MA 02130",,"All of Bikes Not Bombs programs are run by Youth Employees, program alumni who are trained to teach mechanics lessons, lead group rides and be amazing peer leaders. Youth Employees at Bikes Not Bombs also receive one-on-one mentorship and professional development training in resume and cover letter writing, job interview practice, gender sensitivity and teaching techniques. Teens may also be employed to work with Chain Reaction, BNB's mobile bike shop program. The Youth Employees at Bikes Not Bombs focus on three main topics in their work as peer leaders, the environment, bike safety and mechanics.

Youth Programs at Bikes Not Bombs teach young people how to rebuild bikes with recycled parts, and help get youth comfortable using a non-polluting mode of transportation. Our Youth Employees also really love using The Story of Stuff to teach about planned obsolesence, or inviting an organizer from the Alliance for Climate Change to show youth the ways they can help stop global warming.

Every young person who graduates from Earn-A-Bike or Girls In Action goes home with a bicycle AND a helmet. Youth are never allowed on or even near a bicycle without a helmet and our instructors lead them in a safety check before every single ride. Our Youth Employees also know how to make safety education fun. To teach about head injuries they lead BNB's famous Helmet Egg Drop activity in which an egg stands in for a helmet-less rider with some disasterous results. During our Bike Rodeo, Youth Employees teach participants hand signals and emergency stops, skills they have to master before we take them on a ride. If you've ever seen a large group of youth on bikes, with several wearing bright orange reflective vests, shouting things like, ""BIKER BACK,"" and ""CAR UP,"" then you've seen BNB on a group ride. Some of our favorite spots to ride to are Jamaica Pond, The Arnold Arboretum, and Franklin Park. 

From the very first day of a BNB Youth Program, participants get their hands on bikes and tools. They start by stripping a bike, with teams competing to find the smallest, largest, cleanest and dirtiest parts. This is a way for youth to get comfortable with tools, and not worry about messing up the bike they'll eventually take home. Soon, participants move on to tougher skills like flat fixing, overhauling hubs and adjusting brakes and derailleurs. Every lesson that youth participants learn is developed and taught by our Youth Employees, and all of our step-by-step lesson plans can be found in our Earn-A-Bike Training Manual.",Must successfully complete two Bikes Not Bombs programs,https://bikesnotbombs.org/pathways-youth-employment-program,(617) 522-0222,elijah@bikesnotbombs.org,2018-03-26,42.314727,-71.104549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Teen Empowerment-Boston,14,21,All,"384 Warren Street Boston, MA 02119",Worcester,"The Center for Teen Empowerment, Inc. helps low-income, urban youth hone their understanding of the social problems they face and use their talents and skills to create change in their own lives and in their communities. Working in Boston and Somerville, MA and Rochester, NY, TE employs youth ages 14 to 21 as the leaders of social change initiatives that positively influence the values and behaviors of their peers with the goal of lowering crime, violence, and self-destructive behaviors. Youth-led initiatives engage thousands of youth and adults in community improvement efforts each year and lend their voices and lived experience to the debate about policies that affect their lives. ",,http://teenempowerment.org,617-536-4266 x 312  Stephanie@teenempowerment.org,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lahey Health Behavioral Services Outpatient Services (Beverly),18,100,All ,"800 Cummings Center, Suite 266T, Beverly MA 01915",Essex,"We can help your patient through periods of stress and adjustment, such as dealing with issues of aging or adolescence; parenting a newborn; going through separation or divorce: or helping children with problems at school. Also, we have the expertise to help patients to learn the skills to manage issues such as depression, anxiety, chronic mental illness, trauma, ADHD, bipolar illness and other conditions. Some of our therapists are bilingual.",,nebhealth.org,(978) 921-1190,,2019-04-26,42.56034,-70.88655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lahey Health Behavioral Services Outpatient Services (Gloucester),18,100,All ," 298 Washington Street Gloucester, MA 01930",Berkshire,"We can help your patient through periods of stress and adjustment, such as dealing with issues of aging or adolescence; parenting a newborn; going through separation or divorce: or helping children with problems at school. Also, we have the expertise to help patients to learn the skills to manage issues such as depression, anxiety, chronic mental illness, trauma, ADHD, bipolar illness and other conditions. Some of our therapists are bilingual.",,nebhealth.org,(978) 283-0296,,2019-04-26,42.62589,-70.68057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lahey Health Behavioral Services Outpatient Services (Salem),18,100,All ,"35 Congress Street, Bldg. 2, Suite 2150, Salem, MA 01970",Essex,"We can help your patient through periods of stress and adjustment, such as dealing with issues of aging or adolescence; parenting a newborn; going through separation or divorce: or helping children with problems at school. Also, we have the expertise to help patients to learn the skills to manage issues such as depression, anxiety, chronic mental illness, trauma, ADHD, bipolar illness and other conditions. Some of our therapists are bilingual.",,nebhealth.org,(978) 745-2440,,2019-04-26,42.51866,-70.88944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lahey Health Behavioral Services Outpatient Services (Lawrence),18,100,All ,"12 Methuen Street Lawrence, MA 01840",Essex,"We can help your patient through periods of stress and adjustment, such as dealing with issues of aging or adolescence; parenting a newborn; going through separation or divorce: or helping children with problems at school. Also, we have the expertise to help patients to learn the skills to manage issues such as depression, anxiety, chronic mental illness, trauma, ADHD, bipolar illness and other conditions. Some of our therapists are bilingual.",,nebhealth.org,(978) 683-3128,,2019-04-26,42.70679,-71.15454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Housing Application for Massachusetts,0,100,All,"North Shore, MA",,"CHAMP is the website where you can apply for state-aided public housing. Through the online system, this website lets you submit your application to one or more housing authorities, instead of having to mail or hand deliver an application to each housing authority separately. You can also keep your application information up-to-date on this website as it changes. This will help you to make sure that housing authorities know how to contact you. 

If you have an active application at one or more local housing authorities, you can find it on this website and manage it on this website. Do not file a new application. Once you find your existing application on the website, you can make changes such as updating contact information and adding or removing your applications to housing authorities. It is important to only apply to those housing authorities where you are willing to live. ","Vouchers and federally subsidized public housing units are not yet available through this site. However, if you are interested in applying for those programs, please contact a local housing authority or regional administering agency (RAA) directly.",https://publichousingapplication.ocd.state.ma.us/,(617) 573-1100,,2019-05-13,42.464818,-71.010051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevens Treatment Programs (Swansea),11,22,Male,"24 Main Street Swansea, Massachusetts 02777",Bristol,"Stevens Treatment Programs is a private, non-profit corporation, operating a continuum of therapeutic residential programs as well as community and home-based transitional services. Stevens’ programs include a Chapter 766-approved Residential Treatment Center and Special Education School, a campus-based Intensive Group Home, and a community-based Transitional Living Group Home. Stevens also has available community and home-based services to assist youth and their families making transitions from and within our residential programs. Specialized, staff-secure, therapeutic residential treatment center and special education school; specialized, staff-secure, therapeutic campus-based group home; community-based traditional living group home focused on transitions, including pre-independent living; short term (45-60 day) campus based assessment program; transitional services providing intensive community and home-based interventions and supports.",,,(508) 679-0183,clarkl@stevensprograms.org,2019-03-18,41.748577,-71.188497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Cape Cod Comprehensive Treatment Centers,18,100,All,"3088 Cranberry Hwy
East Wareham, MA 02538",Plymouth,"East Wareham Comprehensive Treatment Center is a top provider of medication assisted treatment for those who are grappling with an opioid addiction. Supplying various programming options for individuals ages 18 and above, we, at East Wareham Comprehensive Treatment Center, offer complete care that involves a healthy blend of therapeutic treatment modalities and the implementation of effective and safe medications.

With a staff of knowledgeable nurses, physicians, and counselors, East Wareham Comprehensive Treatment Center is able to provide patients with an environment that boasts safety and productivity as individuals begin moving towards establishing lasting recovery. When individuals who are battling addictions to heroin, prescription pain medications, or morphine come to our center, our kind and understanding staff members work endlessly to supervise the prescription and administration of medications to ensure that each patient obtains the most successful treatment possible. The medications that we supply here at East Wareham Comprehensive Treatment Center include: Suboxone, Methadone, Subutex.

The specific medication prescribed, along with the dosage, will be dependent on the needs of the patients, as well as on their current health. The dosage that a patient is on will be recommended by a professional and will be adjusted to meet his or her individual needs. Additionally, all dosage alterations will be made by a medical professional.

Business Hours:
Monday, Wednesday, Thursday, Friday: 6:00am – 2:00pm
Tuesday: 6:00am – 8:00pm
Saturday & Sunday: Closed

Medication Hours:
Monday – Friday: 6:20am – 10:30am (Priority access 6:00am)
Saturday & Sunday: 6:00am – 9:00am","First, to be treated at one of our centers, you must be 18 years of age or older, and you must have been opioid dependent for at least 12 months.

If you meet these eligibility requirements, we will schedule your intake appointment. At the outset of this appointment, you will be required to provide the following:

-Valid photo identification (Driver’s license, state ID card, or passport)
-Payment for intake fee (cash, money order, or a major credit card issued in the name of the payer); we are not able to accept personal checks or payment by phone
-Proof of insurance, if you are planning to use insurance to pay for your treatment
If you are transferring directly from detox or from another medication assisted treatment program, you will need to provide all necessary documentation from your prior program.
Important Note: Unless you are pregnant, you must arrive for your intake appointment in a state of withdrawal, without having used any opiates within the previous 20 to 24 hours. If you are pregnant, you should not be in withdrawal when you arrive for your intake appointment

Please plan to be at the center for about four hours for your intake appointment. During that time, the following will occur:

-You will be given educational information and provided with a copy of our Patient Handbook.
-You will meet with a staff member for intake paperwork and assessments and have your picture taken for internal identification purposes.
-You will be asked to sign Releases of Confidential Information forms so that we may coordinate care with your primary care physician and other relevant healthcare providers.
-You will provide an Oral Drug Screen to assess opioid and other drug use.
-You will be seen by a clinician to complete a comprehensive biopsychosocial assessment.
You will be scheduled for blood work and TB testing.
You will be scheduled to meet with a member of our medical staff for a physical exam.
If you are female, you will be given a pregnancy test.
Your first dose of medication generally occurs the same day that you are approved for admission into our program, however, we cannot guarantee that this will occur. All medication decisions are determined on a case-by-case basis following an assessment by our medical director.

For additional information about any aspect of care at Cape Cod Comprehensive Treatment Centers, please feel free to contact us at your convenience. We look forward to speaking with you and providing you with the information you need to determine if we have the solutions that you have been searching for.

The care at Cape Cod Comprehensive Treatment Centers is customized to ensure that each patient receives the medications and therapeutic interventions that are best designed to meet their unique needs.
This dedication to customized care means that the cost of treatment may vary from patient to patient. However, because we understand that cost-related concerns can undermine patients’ efforts to focus their full attention on their recovery, we conduct open conversations with all patients prior to the start of treatment to confirm the cost of their care and to verify how they will pay for the services that they receive.

Though costs and payments will vary, certain standard policies and procedures will apply to all who choose to heal at Cape Cod Comprehensive Treatment Centers.

First, all patients, even those who will be using insurance benefits to pay for their treatment, are expected to pay their intake fees on the day of their intake appointment. These fees may be paid with cash, money orders, or major credit cards. Credit cards must be issued in the name of the person who is paying for treatment. (If someone other than the patient is paying, that person must be present when the credit card is used.)

Additional payment information:

All patients are expected to pay for treatment in advance of receiving services.
This policy applies to customers who are paying for their own care, as well as to most insurance patients as well.
Insurance patients will be provided with an invoice that they can submit to their insurance provider in order to be reimbursed for eligible out-of-pocket expenses.
Insurance patients must provide a valid insurance card during their intake appointment and must have their eligibility and coverage confirmed by one of our staff members.
If you have any questions about treatment costs or any other aspects of receiving care at Cape Cod Comprehensive Treatment Centers, please feel free to contact us at your convenience. Our friendly and supportive staff members look forward to providing you with all of the information necessary to make the best decisions about getting the help you need to overcome your opioid dependence.",https://www.capecodctc.com/location/yarmouth/,(877) 565-6373,,2019-04-03,41.755745,-70.646957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Housing Application for Massachusetts,0,100,All,"South Coast, MA",,"CHAMP is the website where you can apply for state-aided public housing. Through the online system, this website lets you submit your application to one or more housing authorities, instead of having to mail or hand deliver an application to each housing authority separately. You can also keep your application information up-to-date on this website as it changes. This will help you to make sure that housing authorities know how to contact you. 

If you have an active application at one or more local housing authorities, you can find it on this website and manage it on this website. Do not file a new application. Once you find your existing application on the website, you can make changes such as updating contact information and adding or removing your applications to housing authorities. It is important to only apply to those housing authorities where you are willing to live. ","Vouchers and federally subsidized public housing units are not yet available through this site. However, if you are interested in applying for those programs, please contact a local housing authority or regional administering agency (RAA) directly.",https://publichousingapplication.ocd.state.ma.us/,(617) 573-1100,,2019-05-13,41.73946,-70.89807,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Castle (Clean And Sober Teens Living Empowered),13,17,All,"20 Meadowbrook Rd, Brockton, MA 02301",Plymouth,"CASTLE Short-term Addiction Treatment Program
The CASTLE is a short-term 24-hour addiction treatment program for adolescents who abuse or are dependent on alcohol or drugs, which may be accompanied by mental health issues. Services include medical detoxification, addiction treatment, acute stabilization, dual diagnosis, psychiatry, psycho-educational groups, individual counseling, family therapy, group counseling, case management, aftercare planning, 12 Step meetings, and traditional AA/NA commitments","Admission Policy: Interested patients/guardians or collaterals should call for bed availability and a phone screening by the nursing department. Based on bed availability, patients with MBHP (Mass Behavioral Health Plan) insurance will be advised to come directly to The CASTLE after a phone assessment has been completed by a nurse. 

Patients with private insurances will be advised to have an evaluation completed by their local crisis team. Based on bed availability, they will be admitted following the evaluation. For Section 35 patients, court personnel will contact CASTLE regarding bed availability, and fax an evaluation to CASTLE staff. ",http://castlekids.org/,(508) 638-6000,,2019-07-29,42.057869,-71.009369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Castle (Clean And Sober Teens Living Empowered),13,100,All,"20 Meadowbrook Rd, Brockton, MA 02301",Plymouth,"Services: Individualized therapy for adolescents and adults. Day treatment, substance abuse and psychiatric services, mental health, driver alcohol education, medication management, and early recovery groups. Suboxone and Vivitrol treatment available. Intensive Outpatient Program, in addition to groups. ",,http://castlekids.org/contactus.php,(508) 742-4420,,2019-07-29,42.057869,-71.009369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Castle (Clean And Sober Teens Living Empowered),13,100,All,"842 Purchase Street, New Bedford, MA 02740",Bristol,"Services: Structured Outpatient Addiction Program, Driver Adult Education, Second Offender Aftercare, anger management group, grief and loss, relapse prevention, co-dependency, and individual, couples, family, and adolescent therapy. Psychiatrist and nurse practitioner are on- site. 

Individualized therapy for adolescents and adults. Day treatment, substance abuse and psychiatric services, mental health, driver alcohol education, medication management, and early recovery groups. Suboxone and Vivitrol treatment available. Intensive Outpatient Program, in addition to groups. ",,http://castlekids.org/contactus.php,(508) 992-1500,,2017-07-29,41.635716,-70.926128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Castle (Clean And Sober Teens Living Empowered),13,100,All,"2 School Street, Plymouth, MA 02360",Plymouth,"Services: Services include substance abuse counseling, mental health counseling, psychiatric evaluations, adolescent counseling (CHOICES), medication management, Suboxone treatment, driver/alcohol education, Second Offenders aftercare services, Batterers Intervention services, criminal justice services, aftercare services for out of state Driving Under the Influence (DUI) cases, interventions, and DBT (Dialectical Behavioral Therapy). The staff specializes in group therapy from women's groups to anger management. Linkages to other levels of care are initiated as needed ",,http://castlekids.org/contactus.php,(508) 830-1234,,2017-07-29,41.957128,-70.666075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Castle (Clean And Sober Teens Living Empowered),13,100,All,"4 Post Office Square, Crocker Bldg, Taunton, MA 02780",Bristol,"Services: Structured Outpatient Addiction Program, Driver Adult Education, Second Offender Aftercare, anger management, grief and loss, relapse prevention, and co-dependency groups. Individual, couples, family, and adolescent therapy. Psychiatrist and nurse practitioner on-site. ",,http://castlekids.org/contactus.php,(508) 823-5291,,2019-17-29,41.901877,-71.094514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The Brien Center,0,100,All,"359 Fenn St, Pittsfield, MA 01201",Berkshire,"The Brien Center provides a continuum of care for children, adolescents, adults and families.

The Brien Center’s Programs and Services are “Community Based”
Our agency is organized around four divisions that address the behavioral health needs of Berkshire County residents using a “community-based care” model. This means our services are delivered where people live, work, shop, worship, go to school and raise their families. With over 25 locations throughout Berkshire County, treatment and services are conveniently available to all Berkshire County residents.

What is “Continuum of Care”?
Continuum of care is an integrated system that guides and tracks people served through a comprehensive array of behavioral health services from various providers. We ensure there are no gaps in care and support recovery and wellness to the highest degree possible.

What is “Integrated Care”?
Integrated care is a system of coordinated care that “integrates” the various aspects of mental health, addiction, and primary care services for the best possible outcomes for people in our care. To achieve these ends, we work closely with physicians and other care providers to keep the lines of communication open. This method of care is proven to be the most effective approach to caring for people with multiple healthcare needs.

Community-wide Collaboration
We are proud to work as part of a strong, well-developed network of collaborative partners to ensure the people of Berkshire County have access to the behavioral healthcare services they need.",The Brien Center is an approved provider for most public and private health insurance plans. A sliding fee scale is offered for those who have no health insurance.,https://www.briencenter.org/,(413) 499-0412,,2019-08-08,42.44937,-73.24614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
